Priority,Keyword,Est. Monthly Search Volume,Difficulty (1-10),Competitor Ranking,Competitor Page,Vision Opportunity,Recommended Vision Page,Category
15,how to build prediction market bot,2400,2,GitHub repos; Medium blog posts,github.com/aarora4/Awesome-Prediction-Market-Tools,HIGH — npx generalmarket init is literally this. Tutorial content wins.,/learn/build-prediction-market-bot + /docs,Blue Ocean
16,earthquake prediction market,880,1,Nobody — zero commercial results,N/A,HIGH — Vision has USGS earthquake data. Completely uncontested.,/sources/usgs-earthquakes + blog post,Exotic Niche
17,space weather prediction market,720,1,Nobody,N/A,HIGH — Vision has space weather + ISS data sources.,/sources/space-weather + blog post,Exotic Niche
18,prediction market leaderboard,3600,5,Polymarket leaderboard; polymarketanalytics.com,polymarket.com/leaderboard,MEDIUM — Vision has agent leaderboard. Differentiate with AI agent rankings.,/ (homepage IS the leaderboard),Category
19,sealed bid prediction market,480,1,Academic papers only,N/A,HIGH — Vision's sealed commit-reveal is unique. No commercial competitor.,/learn/sealed-prediction-markets,Blue Ocean
20,prediction market no KYC,6600,5,Polymarket (historically); crypto forums,polymarket.com (pre-US relaunch),MEDIUM — Polymarket now requires KYC for US. Vision doesn't. Clear differentiator.,/about OR /learn/no-kyc-prediction-markets,Differentiator
21,best prediction market 2026,8100,6,Listicle sites (gamblinginsider; defirate; covers.com),gamblinginsider.com; defirate.com/prediction-markets,MEDIUM — get listed on these roundup articles. Also create own comparison page.,PR/outreach + /compare,Competitor
22,prediction market arbitrage,4400,4,CoinDesk articles; Yahoo Finance; Medium,News articles,MEDIUM — Vision's sealed bets prevent front-running. Anti-arbitrage angle.,/learn/sealed-bets-no-frontrunning,Differentiator
23,polymarket vs kalshi,9900,5,sportshandle.com; PANews; ingame.com,Comparison review sites,HIGH — insert Vision as third option in existing comparison queries.,/learn/polymarket-vs-kalshi-vs-general-market,Competitor
24,prediction market for everything,2400,3,No strong results,N/A,HIGH — Vision has 25000+ markets across 79 data sources. This IS the pitch.,Homepage + /sources,Blue Ocean
25,event contracts trading,3600,6,Kalshi dominates (CFTC-regulated term),kalshi.com,LOW — regulatory term specific to Kalshi's model. Different from parimutuel.,Not priority,Head Term
26,claude code trading bot,1900,1,Nobody — emerging term,N/A,HIGH — Vision's onboarding IS npx generalmarket init for Claude Code agents.,/learn/claude-code-trading-bot + /docs,Blue Ocean
27,on-chain prediction market,3600,5,CoinGecko; various DeFi sites,coingecko.com/learn/prediction-markets,MEDIUM — Vision is on-chain (Arbitrum). Compete with DeFi content.,/about + /learn/on-chain-prediction-markets,Category
28,prediction market data sources,1600,3,Nobody owns this specifically,N/A,HIGH — Vision's 79 data sources page is unique. No competitor has this.,/sources,Blue Ocean
29,bet on weather,5400,5,Kalshi; betting sites,kalshi.com/browse (climate),HIGH — Vision has 10+ weather/geophysical data sources vs Kalshi's basic weather.,/sources + /learn/weather-betting,Category
30,prediction market low liquidity alpha,720,1,Nobody — niche trader query,N/A,HIGH — this is Vision's core thesis: 19 traders/market vs 1200 on Polymarket.,/learn/low-liquidity-alpha OR blog post,Blue Ocean
